ID,Name,refId,weight,sortId,accessoryGroup,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,residentSpEffectId4
,,(呼び出しID - 装飾品から呼び出すID),(重量[kg] - 重量[kg]),(sortID - ),(装着グループID - 同じグループの物は同時装備不可能),(常駐特殊効果ID1 - 常駐特殊効果ID1),(常駐特殊効果ID2 - 常駐特殊効果ID2),(常駐特殊効果ID3 - 常駐特殊効果ID3),(常駐特殊効果ID4 - 常駐特殊効果ID4)
1000.0,Crimson Amber Medallion,310000.0,0.3,400000.0,1000.0,0.0,0.0,0.0,0.0
1001.0,Crimson Amber Medallion +1,310010.0,0.3,400010.0,1000.0,0.0,0.0,0.0,0.0
1002.0,Crimson Amber Medallion +2,310020.0,0.3,400020.0,1000.0,0.0,0.0,0.0,0.0
1010.0,Cerulean Amber Medallion,310100.0,0.3,400050.0,1010.0,0.0,0.0,0.0,0.0
1011.0,Cerulean Amber Medallion +1,310110.0,0.3,400060.0,1010.0,0.0,0.0,0.0,0.0
1012.0,Cerulean Amber Medallion +2,310120.0,0.3,400070.0,1010.0,0.0,0.0,0.0,0.0
1020.0,Viridian Amber Medallion,310200.0,0.3,400090.0,1020.0,0.0,0.0,0.0,0.0
1021.0,Viridian Amber Medallion +1,310210.0,0.3,400100.0,1020.0,0.0,0.0,0.0,0.0
1022.0,Viridian Amber Medallion +2,310220.0,0.3,400110.0,1020.0,0.0,0.0,0.0,0.0
1030.0,Arsenal Charm,310300.0,1.5,400130.0,1030.0,0.0,0.0,0.0,0.0
1031.0,Arsenal Charm +1,310310.0,1.5,400140.0,1030.0,0.0,0.0,0.0,0.0
1032.0,Great-Jar's Arsenal,310320.0,1.5,400150.0,1030.0,0.0,0.0,0.0,0.0
1040.0,Erdtree's Favor,310400.0,1.5,400160.0,1040.0,0.0,0.0,0.0,0.0
1041.0,Erdtree's Favor +1,310410.0,1.5,400170.0,1040.0,0.0,0.0,0.0,0.0
1042.0,Erdtree's Favor +2,310420.0,1.5,400180.0,1040.0,0.0,0.0,0.0,0.0
1050.0,Radagon's Scarseal,310500.0,0.8,400190.0,1050.0,0.0,0.0,0.0,0.0
1051.0,Radagon's Soreseal,310510.0,0.8,400200.0,1050.0,0.0,0.0,0.0,0.0
