ID,Name,sortId,resistSleep,resistMadness,toughnessCorrectRate,weight,residentSpEffectId,residentSpEffectId2,residentSpEffectId3,resistPoison,resistDisease,resistBlood,resistCurse,protectorCategory,neutralDamageCutRate,slashDamageCutRate,blowDamageCutRate,thrustDamageCutRate,magicDamageCutRate,fireDamageCutRate,thunderDamageCutRate,darkDamageCutRate,resistFreeze
,,(ソートID - ソートID(プログラム内で強化レベルを加味しているので s32 では７桁が限界)),(睡眠耐性 - 睡眠状態異常へのかかりにくさ),(発狂耐性 - 発狂状態異常へのかかりにくさ),(強靭度 補正倍率 - 強靭度の基本値を補正する倍率です),(重量[kg] - 重量[kg].),(常駐特殊効果ID1 - 常駐特殊効果ID1),(常駐特殊効果ID2 - 常駐特殊効果ID2),(常駐特殊効果ID3 - 常駐特殊効果ID3),(毒耐性 - 毒状態異常へのかかりにくさ),(疫病耐性 - 疫病状態異常へのかかりにくさ),(出血耐性 - 出血状態異常へのかかりにくさ),(呪耐性 - 呪い状態異常へのかかりにくさ),(防具カテゴリ - 防具のカテゴリ.),(無属性ダメージ倍率 - 無属性ダメージ倍率),(斬撃ダメージ倍率 - 斬撃ダメージ倍率),(打撃ダメージ倍率 - 打撃ダメージ倍率),(刺突ダメージ倍率 - 刺突ダメージ倍率),(魔法ダメージ倍率 - 魔法ダメージ倍率),(火炎ダメージ倍率 - 火炎ダメージ倍率),(電撃ダメージ倍率 - 電撃ダメージ倍率),(闇ダメージ倍率 - 闇ダメージ倍率),(冷気耐性 - 冷気状態異常へのかかりにくさ)
1000.0,Type 1,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1100.0,Type 2,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1200.0,Type 3,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1300.0,Type 4,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1400.0,Type 5,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1500.0,Type 6,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1600.0,Type 7,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1700.0,Type 8,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1800.0,Type 9,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1900.0,Type 10,99999.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
