ID,Name,sortId,weight,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,originEquipWep,originEquipWep1,originEquipWep11,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,saWeaponDamage,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,staminaGuardDef,reinforceTypeId,throwAtkRate,correctType_Physics,properStrength,properAgility,properMagic,properFaith,guardCutCancelRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,atkAttribute,enableMagic,enableMiracle,isEnhance,disableGemAttr,isDualBlade,correctType_Magic,correctType_Fire,correctType_Thunder,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,atkAttribute2,sleepGuardResist,madnessGuardResist,correctType_Blood,properLuck,freezeGuardResist,swordArtsParamId,correctLuck,staminaConsumptionRate,attackElementCorrectId,correctType_Sleep,correctType_Madness,gemMountType,restrictSpecialSwordArt
,,(ソートID - ソートID(-1:集めない)(プログラム内で強化レベルを加味するため s32 では７桁が限界)),(重量[kg] - 重量[kg].),(筋力補正 - キャラパラ補正値.),(俊敏補正 - キャラパラ補正値.),(魔力補正 - キャラパラ補正値.),(信仰補正 - キャラパラ補正値.),(ガード時物理攻撃カット率 - ガード時のダメージカット率を各攻撃ごとに設定),(ガード時魔法攻撃カット率 - ガード攻撃でない場合は、0を入れる),(ガード時炎攻撃力カット率 - 炎攻撃をどれだけカットするか？),(ガード時電撃攻撃力カット率 - 電撃攻撃をどれだけカットするか？),(攻撃ヒット時特殊効果ID0 - 武器に特殊効果を追加するときに登録する),(攻撃ヒット時特殊効果ID1 - 武器に特殊効果を追加するときに登録する),(攻撃ヒット時特殊効果ID2 - 武器に特殊効果を追加するときに登録する),(常駐特殊効果ID - 常駐特殊効果ID0),(常駐特殊効果ID1 - 常駐特殊効果ID1),(常駐特殊効果ID2 - 常駐特殊効果ID2),(派生元 - この武器の強化元武器ID),(派生元 強化+1 - この武器の強化元武器ID1),(派生元 強化+11 - この武器の強化元武器ID11),(特攻Aダメージ倍率 - 特攻A用のダメージ倍率),(特攻Bダメージ倍率 - 特攻B用のダメージ倍率),(特攻Cダメージ倍率 - 特攻C用のダメージ倍率),(特攻Dダメージ倍率 - 特攻D用のダメージ倍率),(SA武器攻撃力 - スーパーアーマー基本攻撃力),(物理攻撃力基本値 - 敵のＨＰにダメージを与える物理属性攻撃の基本値),(魔法攻撃力基本値 - 敵のＨＰにダメージを与える魔法属性攻撃の基本値),(炎攻撃力基本値 - 敵のＨＰにダメージを与える炎属性攻撃の基本値),(電撃攻撃力基本値 - 敵のＨＰにダメージを与える電撃属性攻撃の基本値),(スタミナ攻撃力 - 敵へのスタミナ攻撃力),(ガード時スタミナ防御力 - ガード成功時に、敵のスタミナ攻撃に対する防御力),(強化タイプID - 強化タイプID),(投げ攻撃力倍率 - 投げの攻撃力倍率),(補正タイプ（物理攻撃力） - 一次パラメータによる物理攻撃力の補正グラフのタイプを決める),(装備適正筋力 - 装備適正値.),(装備適正俊敏 - 装備適正値.),(装備適正魔力 - 装備適正値.),(装備適正信仰 - 装備適正値.),(ガードカット無効化倍率 - 相手のガードカットを無効化させる倍率。-100で完全無効。100で相手の防御効果倍増。),(毒耐性カット率 - 毒にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(疫病攻撃カット率 - 疫病にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(出血攻撃カット率 - 出血にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(呪攻撃カット率 - 呪いにする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(物理属性1 - 物理属性1),(魔法可能 - 攻撃時に魔法発動),(奇蹟可能 - 攻撃時に奇蹟発動),(エンチャント可能か？ - 松脂などで、強化可能か？),(魔石属性変更禁止か - 魔石属性変更禁止か),(双剣か - この武器は双剣か。),(補正タイプ（魔法攻撃力） - 一次パラメータによる魔法攻撃力の補正グラフのタイプを決める),(補正タイプ（炎攻撃力） - 一次パラメータによる炎攻撃力の補正グラフのタイプを決める),(補正タイプ（雷攻撃力） - 一次パラメータによる雷攻撃力の補正グラフのタイプを決める),(ガード時闇攻撃力カット率 - 闇攻撃をどれだけカットするか？),(闇攻撃力基本値 - 敵のＨＰにダメージを与える闇属性攻撃の基本値),(補正タイプ（闇攻撃力） - 一次パラメータによる闇攻撃力の補正グラフのタイプを決める),(補正タイプ（毒攻撃力） - 一次パラメータによる毒攻撃力の補正グラフのタイプを決める),(物理属性2 - 物理属性2),(睡眠攻撃カット率 - 睡眠にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(発狂攻撃カット率 - 発狂にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(補正タイプ（出血攻撃力） - 一次パラメータによる出血攻撃力の補正グラフのタイプを決める),(装備適正運 - 装備適正値.),(冷気攻撃カット率 - 冷気にする攻撃力（特殊効果パラメータに設定）をどれだけカットするか),(アーツパラメータID - アーツパラメータのID),(運補正 - キャラパラ補正値.),(スタミナ消費量倍率 - スタミナ消費量倍率),(攻撃属性補正ID - 攻撃属性を補正するパラメータのID),(補正タイプ（睡眠攻撃力） - 一次パラメータによる睡眠攻撃力の補正グラフのタイプを決める),(補正タイプ（発狂攻撃力） - 一次パラメータによる発狂攻撃力の補正グラフのタイプを決める),(魔石装着可能か - 魔石装着可能か),(restrictSpecialSwordArt - )
1000.0,,9999999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FALSE
1100.0,,9999999.0,1.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FALSE
1200.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1010.0,10.0,10.0,0.0,FALSE
1210.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1011.0,10.0,10.0,0.0,FALSE
1220.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1012.0,10.0,10.0,0.0,FALSE
1230.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1013.0,10.0,10.0,0.0,FALSE
1240.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1014.0,10.0,10.0,0.0,FALSE
1250.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1015.0,10.0,10.0,0.0,FALSE
1260.0,,9999999.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,FALSE,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1016.0,10.0,10.0,0.0,FALSE
